register_close_register_id,register_close_no,register_close_date,register_close_amt
AP_4567,127,10/21/2016,435280
AP_4567,128,10/22/2016,859965
AP_4567,129,10/23/2016,248735
AP_4567,130,10/24/2016,559292
AP_4567,131,10/25/2016,235373
AP_4567,132,10/26/2016,159081
AP_4567,133,10/27/2016,159081
AP_4567,134,10/28/2016,162540
AP_4567,135,10/29/2016,317000
AP_4567,136,10/30/2016,235373
AP_4567,137,10/31/2016,22000
AP_4567,138,11/1/2016,24000
AP_4567,139,11/2/2016,220000
AP_4567,140,11/3/2016,326000
AP_4567,141,11/4/2016,304000
AP_4567,142,11/5/2016,434000
AP_4567,143,11/6/2016,235373
AP_4567,144,11/7/2016,4500
AP_4567,145,11/8/2016,10500
AP_4567,146,11/9/2016,109500
OTP_432,210,10/1/2016,340779
OTP_432,211,10/2/2016,140625
OTP_432,212,10/3/2016,168938
OTP_432,213,10/4/2016,273830
OTP_432,214,10/5/2016,132992
OTP_432,215,10/6/2016,212472
OTP_432,216,10/7/2016,285933
OTP_432,217,10/8/2016,131809
OTP_432,218,10/9/2016,116493
OTP_432,219,10/10/2016,190932
OTP_432,220,10/11/2016,276560
OTP_432,221,10/12/2016,111056
OTP_432,222,10/13/2016,432631
OTP_432,223,10/14/2016,168132
OTP_432,224,10/15/2016,364788
OTP_432,225,10/16/2016,366184
OTP_432,226,10/17/2016,545441
OTP_432,227,10/18/2016,302229
OTP_432,228,10/19/2016,286728
OTP_432,229,10/20/2016,274226
OTP_432,230,10/21/2016,653573
OTP_432,231,10/22/2016,149241
OTP_432,232,10/23/2016,447434
OTP_432,233,10/24/2016,148285
OTP_432,234,10/25/2016,120902
OTP_432,235,10/26/2016,95449
OTP_432,236,10/27/2016,130032
OTP_432,237,10/28/2016,199710
OTP_432,238,10/29/2016,178883
OTP_432,239,10/30/2016,13200
OTP_432,240,10/31/2016,19200
OTP_432,241,11/1/2016,138600
OTP_432,242,11/2/2016,247760
OTP_432,243,11/3/2016,182400
OTP_432,244,11/4/2016,347200
OTP_432,245,11/5/2016,148285
OTP_432,246,11/6/2016,3420
OTP_432,247,11/7/2016,6300
OTP_432,248,11/8/2016,87600
OTP_432,249,11/9/2016,189315
OTP_567,232,10/1/2016,207480
OTP_567,233,10/2/2016,269036
OTP_567,234,10/3/2016,187500
OTP_567,235,10/4/2016,133039
OTP_567,236,10/5/2016,330334
OTP_567,237,10/6/2016,104994
OTP_567,238,10/7/2016,283296
OTP_567,239,10/8/2016,225172
OTP_567,240,10/9/2016,159007
OTP_567,241,10/10/2016,91968
OTP_567,242,10/11/2016,254576
OTP_567,243,10/12/2016,217791
OTP_567,244,10/13/2016,133973
OTP_567,245,10/14/2016,341551
OTP_567,246,10/15/2016,224176
OTP_567,247,10/16/2016,287271
OTP_567,248,10/17/2016,441746
OTP_567,249,10/18/2016,430611
OTP_567,250,10/19/2016,402972
OTP_567,251,10/20/2016,225798
OTP_567,252,10/21/2016,330813
OTP_567,253,10/22/2016,515979
OTP_567,254,10/23/2016,198988
OTP_567,255,10/24/2016,352354
OTP_567,256,10/25/2016,178883
OTP_567,257,10/26/2016,95449
OTP_567,258,10/27/2016,127265
OTP_567,259,10/28/2016,102400
OTP_567,260,10/29/2016,240920
OTP_567,261,10/30/2016,141224
OTP_567,262,10/31/2016,17600
OTP_567,263,11/1/2016,18240
OTP_567,264,11/2/2016,132000
OTP_567,265,11/3/2016,260800
OTP_567,266,11/4/2016,191520
OTP_567,267,11/5/2016,329840
OTP_567,268,11/6/2016,141224
OTP_567,269,11/7/2016,3600
OTP_567,270,11/8/2016,6615
OTP_567,271,11/9/2016,83220
